Year,Month,State,Revenue(Thousand $),Consumption(Megawatthours),Customers(Count),Price(Cents/kWh),Precipitation,Temperature,nat_gas_to_elect_power,PS-Wtotl,DO-WFrTo,DO-WDelv ,IN-Wtotl,IR-WFrTo,IR-RecWW,IR-IrSpr,IR-IrMic,IR-IrSur,IC-WFrTo,IC-RecWW,IC-IrSpr,IC-IrMic,IC-IrSur,IG-WFrTo,IG-RecWW,IG-IrSpr,IG-IrMic,IG-IrSur,LI-WFrTo,AQ-WTotl,MI-Wtotl,PT-Wtotl,PT-RecWW,PT-PSDel,PT-Power,PO-WTotl,PO-RecWW,PO-PSDel,PO-Power,PC-WTotl,PC-RecWW,PC-PSDel,PC-Power
2011,1,CT,"466,863","2,780,309","1,614,219",16.79,3.36,23.2,7686,239.93,30.83,126.82,222.33,11.31,0,17.54,0.71,0,4.44,0,8.56,0.71,0,6.87,0,8.98,0,0,1.15,25.17,4.25,2593.13,0,4.65,30979.71,2590.17,0,0,21938.17,2.96,0,4.65,9041.54
2011,2,CT,"387,663","2,390,927","1,572,803",16.21,3.84,27.1,7771,239.93,30.83,126.82,222.33,11.31,0,17.54,0.71,0,4.44,0,8.56,0.71,0,6.87,0,8.98,0,0,1.15,25.17,4.25,2593.13,0,4.65,30979.71,2590.17,0,0,21938.17,2.96,0,4.65,9041.54
2011,3,CT,"398,719","2,436,332","1,614,558",16.37,4.74,37,6673,239.93,30.83,126.82,222.33,11.31,0,17.54,0.71,0,4.44,0,8.56,0.71,0,6.87,0,8.98,0,0,1.15,25.17,4.25,2593.13,0,4.65,30979.71,2590.17,0,0,21938.17,2.96,0,4.65,9041.54
2011,4,CT,"370,989","2,260,627","1,612,808",16.41,5.52,48.9,6958,239.93,30.83,126.82,222.33,11.31,0,17.54,0.71,0,4.44,0,8.56,0.71,0,6.87,0,8.98,0,0,1.15,25.17,4.25,2593.13,0,4.65,30979.71,2590.17,0,0,21938.17,2.96,0,4.65,9041.54
2011,5,CT,"376,033","2,300,770","1,611,524",16.34,4.87,59.7,8366,239.93,30.83,126.82,222.33,11.31,0,17.54,0.71,0,4.44,0,8.56,0.71,0,6.87,0,8.98,0,0,1.15,25.17,4.25,2593.13,0,4.65,30979.71,2590.17,0,0,21938.17,2.96,0,4.65,9041.54
2011,6,CT,"410,793","2,502,915","1,610,761",16.41,6.15,66.9,8410,239.93,30.83,126.82,222.33,11.31,0,17.54,0.71,0,4.44,0,8.56,0.71,0,6.87,0,8.98,0,0,1.15,25.17,4.25,2593.13,0,4.65,30979.71,2590.17,0,0,21938.17,2.96,0,4.65,9041.54
2011,7,CT,"473,045","2,893,149","1,609,445",16.35,2.17,74.1,10878,239.93,30.83,126.82,222.33,11.31,0,17.54,0.71,0,4.44,0,8.56,0.71,0,6.87,0,8.98,0,0,1.15,25.17,4.25,2593.13,0,4.65,30979.71,2590.17,0,0,21938.17,2.96,0,4.65,9041.54
2011,8,CT,"484,305","2,995,189","1,610,758",16.17,11.56,70.8,11176,239.93,30.83,126.82,222.33,11.31,0,17.54,0.71,0,4.44,0,8.56,0.71,0,6.87,0,8.98,0,0,1.15,25.17,4.25,2593.13,0,4.65,30979.71,2590.17,0,0,21938.17,2.96,0,4.65,9041.54
2011,9,CT,"405,881","2,518,712","1,610,734",16.11,7.78,66.4,10952,239.93,30.83,126.82,222.33,11.31,0,17.54,0.71,0,4.44,0,8.56,0.71,0,6.87,0,8.98,0,0,1.15,25.17,4.25,2593.13,0,4.65,30979.71,2590.17,0,0,21938.17,2.96,0,4.65,9041.54
2011,10,CT,"365,383","2,240,715","1,610,594",16.31,5.6,53.4,9671,239.93,30.83,126.82,222.33,11.31,0,17.54,0.71,0,4.44,0,8.56,0.71,0,6.87,0,8.98,0,0,1.15,25.17,4.25,2593.13,0,4.65,30979.71,2590.17,0,0,21938.17,2.96,0,4.65,9041.54
2011,11,CT,"351,920","2,153,066","1,612,710",16.35,3.57,45.9,9523,239.93,30.83,126.82,222.33,11.31,0,17.54,0.71,0,4.44,0,8.56,0.71,0,6.87,0,8.98,0,0,1.15,25.17,4.25,2593.13,0,4.65,30979.71,2590.17,0,0,21938.17,2.96,0,4.65,9041.54
2011,12,CT,"389,922","2,386,284","1,613,597",16.34,4.53,36.9,9104,239.93,30.83,126.82,222.33,11.31,0,17.54,0.71,0,4.44,0,8.56,0.71,0,6.87,0,8.98,0,0,1.15,25.17,4.25,2593.13,0,4.65,30979.71,2590.17,0,0,21938.17,2.96,0,4.65,9041.54
2012,1,CT,"415,443","2,616,524","1,612,657",15.88,2.86,31.7,8057,239.93,30.83,126.82,222.33,11.31,0,17.54,0.71,0,4.44,0,8.56,0.71,0,6.87,0,8.98,0,0,1.15,25.17,4.25,2593.13,0,4.65,30979.71,2590.17,0,0,21938.17,2.96,0,4.65,9041.54
2012,2,CT,"375,466","2,415,610","1,612,622",15.54,1.09,35,7632,239.93,30.83,126.82,222.33,11.31,0,17.54,0.71,0,4.44,0,8.56,0.71,0,6.87,0,8.98,0,0,1.15,25.17,4.25,2593.13,0,4.65,30979.71,2590.17,0,0,21938.17,2.96,0,4.65,9041.54
2012,3,CT,"363,010","2,355,589","1,611,734",15.41,1.3,45.8,7958,239.93,30.83,126.82,222.33,11.31,0,17.54,0.71,0,4.44,0,8.56,0.71,0,6.87,0,8.98,0,0,1.15,25.17,4.25,2593.13,0,4.65,30979.71,2590.17,0,0,21938.17,2.96,0,4.65,9041.54
