Plant id,Plant name ,County,State,state county fips,water source,Latitude,Longitude,elevation_in_feet,com_id,gen type,CAPACITY_MW,CHP,USGS_WATER_TYPE,MODEL_COOL_TYPE,MODEL_WD,MODEL_MIN_WD,MODEL_MAX_WD,EIA_COOL_TYPE,EIA_WD,EIA_WD_INRANGE,COMP_COOL_TYPE,COMP_DATA_SOURCE,COMP_WD,COMP_TOTAL_WD,COMP_WD_INRANGE,NET_GEN_MWH,MAX_WITHDRAWAL,MIN_CONSUMPTION,MAX_CONSUMPTION,MIN_CONSUMPTION,Precipitation_1971-2000,Precipitation_2011,Precipitation_2012,Precipitation_2013,Precipitation_2014,Precipitation_2015,Precipitation_2016,Precipitation_2017,Precipitation_2018,Precipitation_2019,Precipitation_2020,Precipitation_2021,Temperature_2011,Temperature_2012,Temperature_2013,Temperature_2014,Temperature_2015,Temperature_2016,Temperature_2017,Temperature_2018,Temperature_2019,Temperature_2020,Temperature_2021,,,,,,,,,,
546,Montville Station,New London,CT,9011,Thames River,41.42788,-72.101,0,6171772,COMPLEX,489.9,0,SA,ONCE-THROUGH SALINE,11.1,5.08,82.2,ONCE-THROUGH SALINE,11,IN RANGE,ONCE-THROUGH SALINE,EIA,34.3,34.3,IN RANGE,91451,13.2,0.81,0,0,50.3,56.1,37.38,36.1,50.5,33.55,38.12,44.46,57.88,56.71,41.46,44.86,51.4°F,51.4,53.3,50.8,49.7,50.7,52.5,51.8,51.7,50.6,52.6,,,,,,,,,,
548,NRG Norwalk Harbor,Fairfield,CT,9001,Long Island Sound,41.07302,-73.4111,0,7734299,OIL,342.7,0,SA,ONCE-THROUGH SALINE,8.42,3.84,62.2,ONCE-THROUGH SALINE,0.5,LOW,ONCE-THROUGH SALINE,EIA,2.3,2.3,LOW,76871,#N/A,#N/A,#N/A,#N/A,50.3,67.74,40.12,40.86,48.07,39.2,37.61,41.74,63.15,51.56,43.4,47.54,52.3°F,52.3,53.8,51,50.1,51.4,53,52,52,51.5,53.3,,,,,,,,,,
562,Middletown,Middlesex,CT,9007,Connecticut River,41.55493,-72.5793,20,7701182,COMPLEX,786.4,0,FR,COMPLEX,28.9,13.2,213,COMPLEX,67.2,IN RANGE,COMPLEX,EIA,116,116,IN RANGE,312789,328,20.2,0.6,0.39,50.3,57.92,37.43,40.42,39.8,32.53,34.14,42.22,59.79,55.41,44.79,48.87,51.8°F,51.8,53.2,50.7,49.6,50.8,52.6,51.9,51.8,50.6,52.4,,,,,,,,,,
566,Millstone,New London,CT,9011,Long Island Sound,41.31145,-72.1679,0,6170916,NUCLEAR,2162.9,0,SA,ONCE-THROUGH SALINE,1730,786,12900,ONCE-THROUGH SALINE,1934.2,IN RANGE,ONCE-THROUGH SALINE,EIA,2033,2033,IN RANGE,16750304,13600,825,0,0,50.3,56.1,37.38,36.1,50.5,33.55,38.12,44.46,57.88,56.71,41.46,44.86,51.4°F,51.4,53.3,50.8,49.7,50.7,52.5,51.8,51.7,50.6,52.6,,,,,,,,,,
568,Bridgeport Station,Fairfield,CT,9001,Bridgeport Harbor,41.17141,-73.184,0,7734269,COAL,581.6,0,SA,ONCE-THROUGH SALINE,117,53.1,871,ONCE-THROUGH SALINE,204.7,IN RANGE,ONCE-THROUGH SALINE,EIA,244,244,IN RANGE,1231166,417,24.9,0,0,50.3,67.74,40.12,40.86,48.07,39.2,37.61,41.74,63.15,51.56,43.4,47.54,52.3°F,52.3,53.8,51,50.1,51.4,53,52,52,51.5,53.3,,,,,,,,,,
589,J C McNeil,Chittenden,VT,50007,Wells,44.49311,-73.2084,115,4578832,COMPLEX,59.5,0,-nr-,RECIRCULATING TOWER,0.73,0.55,1.14,-nr-,-nr-,N/A,RECIRCULATING TOWER,MODEL,0.73,0.73,IN RANGE,272202,1.06,0.36,0.48,0.36,42.7,55.64,40.72,47.77,41.8,40.68,33.96,43.98,40.99,46.47,35.29,34.43,45.8°F,45.8,47.6,41.4,40.3,44.4,46.4,45.6,45,43.6,46.9,,,,,,,,,,
1507,William F Wyman,Cumberland,ME,23005,Casco River,43.7509,-70.1566,0,N/A,OIL,846,0,SA,ONCE-THROUGH SALINE,24.2,11,179,ONCE-THROUGH SALINE,20.6,IN RANGE,ONCE-THROUGH SALINE,MODEL,24.2,24.2,IN RANGE,159831,327,19.5,0,0,42.2,63.36,41.57,44.67,45.58,37.91,39.9,47.2,63.42,55.46,43.74,54.13,46.5°F,46.5,47.8,45.7,44.7,45.2,47.1,46.2,45.6,44.8,47.3,,,,,,,,,,
1588,Mystic Generating Station,Middlesex,MA,25017,Mystic River,42.39038,-71.0675,0,5867683,COMPLEX,2361.4,0,SA,COMPLEX,353,161,2640,COMPLEX,5,LOW,ONCE-THROUGH SALINE,MODEL,353,353,IN RANGE,9296012,166,9.94,0,0,47.7,59.21,40.96,43.1,48.74,38.2,34.98,45.85,58.02,51.12,41.53,55.17,50.2°F,50.2,51.9,49.4,48.2,49,50.9,50.4,50.2,49.5,51.7,,,,,,,,,,
1590,Pilgrim Nuclear Power Station,Plymouth,MA,25023,Atlantic Ocean,41.94477,-70.5791,0,5879209,NUCLEAR,670,0,SA,ONCE-THROUGH SALINE,601,273,4490,ONCE-THROUGH SALINE,446.6,IN RANGE,ONCE-THROUGH SALINE,EIA,447,447,IN RANGE,5917813,3830,232,0,0,47.7,53.99,48.43,43.02,48.79,41.56,40.87,44.65,53.23,49.08,41.82,48.45,51.9°F,51.9,53.2,51.1,50.3,50.9,52.5,51.6,51.5,50.7,53,,,,,,,,,,
1595,Kendall Square Station,Middlesex,MA,25017,Charles River,42.36401,-71.0807,11,5867717,NGCC,253.6,1,-nr-,RECIRCULATING TOWER,1.62,1.24,2.54,-nr-,-nr-,N/A,RECIRCULATING TOWER,MODEL,1.62,1.62,IN RANGE,1485468,2.61,0.85,1.3,0.76,47.7,59.21,40.96,43.1,48.74,38.2,34.98,45.85,58.02,51.12,41.53,55.17,50.2°F,50.2,51.9,49.4,48.2,49,50.9,50.4,50.2,49.5,51.7,,,,,,,,,,
1606,Mount Tom,Hampden,MA,25013,Connecticut River,42.28122,-72.6051,120,6782113,COAL,136,0,FR,ONCE-THROUGH FRESH,33.5,15.2,250,ONCE-THROUGH FRESH,58.9,IN RANGE,ONCE-THROUGH FRESH,EIA,81.3,81.3,IN RANGE,474949,#N/A,#N/A,#N/A,#N/A,47.7,65.62,41.42,48.12,51.03,42.8,35.53,44.72,63.7,49.8,43.29,55.93,49.5°F,49.5,51.2,48.4,47.3,48.2,49.9,49.2,49.1,48.2,50.5,,,,,,,,,,
1613,Somerset Station,Bristol,MA,25005,Taunton River,41.73783,-71.1456,21,6130213,OIL,125,0,SA,ONCE-THROUGH SALINE,0.06,0.03,0.48,ONCE-THROUGH SALINE,0.1,IN RANGE,ONCE-THROUGH SALINE,MODEL,0.06,0.06,IN RANGE,139,#N/A,#N/A,#N/A,#N/A,47.7,57.65,43.38,47.69,50.63,42.61,38.2,47.4,63.96,54.53,32.25,51.68,52.0°F,52,53.3,51.1,50.2,50.7,52.5,51.6,51.6,50.8,52.9,,,,,,,,,,
